video_id,title,upload_date,views,likes,duration,video_type,video_url
0JUARQAwmko,Re-NEET 2026 Physics Question Drop: +4 Marks Sabko Milenge Ya Nahi? #neet2026 #neetanswerkey #shorts,2026-06-26T07:38:46Z,2263,60,0:43,Short,https://www.youtube.com/watch?v=0JUARQAwmko
J18gGtbojqI,"Scholarships, Prizes & Foreign Tour for Classes 5–12 | Matrix Olympiad 2026-27 | Coming 28 June 🔥",2026-06-25T11:30:27Z,791,15,0:18,Short,https://www.youtube.com/watch?v=J18gGtbojqI
VMwRO171W-E,Bachpan Ka Sapna — White Coat | NEET 2027 Motivation | Matrix NEET Sikar #neet2027 #shorts,2026-06-24T11:30:16Z,8142,198,0:10,Short,https://www.youtube.com/watch?v=VMwRO171W-E
69ue6gFvYvU,Re-NEET 2026 Cut Off Cross नहीं हुई? अब क्या करें — Maan Sir | NEET 2027 Repeater Batch| Matrix NEET,2026-06-24T06:00:09Z,6518,143,7:36,Video,https://www.youtube.com/watch?v=69ue6gFvYvU
MO8OCHTLdpI,"LIVE Launch: Matrix Olympiad 2026-27 🚀 | Win ₹91 Cr Scholarships, FREE Europe Tour & ₹51 Lakh Cash",2026-06-24T05:31:13Z,0,1,,Video,https://www.youtube.com/watch?v=MO8OCHTLdpI
G5wNwvV1Nio,"NEET 2026 Khatam, NEET 2027 Shuru | NEET 2027 Preparation | Matrix NEET Sikar #shorts #neet2027",2026-06-23T11:30:30Z,9718,191,0:22,Short,https://www.youtube.com/watch?v=G5wNwvV1Nio
hvXZaCgTqzY,NEET 2026 Rank Predictor & College Predictor | Check Your Rank and College | Matrix NEET Sikar,2026-06-23T09:20:57Z,6381,128,0:46,Short,https://www.youtube.com/watch?v=hvXZaCgTqzY
Yd3W0xG0cFE,NEET 2026 Rank & College Predictor LIVE | NEET College Predictor | NEET Rank Predictor| Matrix Sikar,2026-06-23T06:34:51Z,8184,95,19:46,Video,https://www.youtube.com/watch?v=Yd3W0xG0cFE
iAq8tgdsJPU,NEET 2026 Re-Exam: Expected Cutoff & Paper Analysis LIVE | Matrix NEET Sikar,2026-06-23T00:20:46Z,20917,254,44:41,Video,https://www.youtube.com/watch?v=iAq8tgdsJPU
xThU8Kdzhqk,NEET 2026 Expected Cutoff | Why It Will Be Higher Than 2025 | Matrix NEET #shorts #neetcutoff,2026-06-22T13:55:26Z,16462,312,1:35,Video,https://www.youtube.com/watch?v=xThU8Kdzhqk
